,farm,n_sim,mean_beta_eff,sd_beta_eff,median_beta_eff,mean_R0,sd_R0,median_R0,mean_total_new_E,mean_peak_I
0,Farm1,100,0.00056502473,0.0031619905,0.00016326476,0.008002256,0.040123083,0.0025591846,196.61,68.73
1,Farm2,100,0.00012093108,3.135316e-05,0.00012185239,0.0018966718,0.0002475246,0.0018860017,94.81,32.19
2,Farm3,100,0.0038728286,0.006889795,0.0010745162,0.0602211,0.10266861,0.014339412,924.08,343.93
3,Farm4,100,0.00096457615,0.0013767977,0.00047959315,0.012694884,0.01770712,0.0061921743,813.68,278.34
