,farm,sim_id,T_nominal,R_recovery,beta_eff,R0,mean_S,mean_I,total_new_E
0,Farm1,0,0.0929982465515025,0.0737706299432407,8.369021050723668e-05,0.0011344651736284227,754.0767123287671,9.394520547945206,222
1,Farm1,1,0.0972989175500361,0.0553752682917079,6.234000911897354e-05,0.0011257734913459293,772.4301369863014,12.41095890410959,223
2,Farm1,2,0.0481718812412158,0.059106604692854,6.968848037297587e-05,0.0011790303424652848,751.3095890410959,11.706849315068494,230
3,Farm1,3,0.0649898714541161,0.0734431505414951,8.606271151742478e-05,0.001171827609285357,755.5424657534246,9.646575342465754,235
4,Farm1,4,0.0615538155776767,0.0782862063581218,8.076091713159499e-05,0.0010316110703097884,779.8849315068493,4.989041095890411,119
5,Farm1,5,0.0763051263383194,0.0720364300791857,7.903043599945995e-05,0.0010970898462428819,803.4958904109589,4.342465753424658,102
6,Farm1,6,0.1108885716616283,0.0632807916830043,6.581129026788045e-05,0.0010399884154034026,784.9041095890411,5.304109589041096,103
7,Farm1,7,0.0248270650062909,0.0589440167738663,7.470598101465102e-05,0.001267405669030907,799.4356164383562,4.953424657534247,110
8,Farm1,8,0.040317049619412,0.045408726936218,5.6288378165134156e-05,0.0012395938394000328,748.1561643835616,14.884931506849314,233
9,Farm1,9,0.0411249943552222,0.0554595592450344,6.991020124278828e-05,0.001260561789427631,762.2383561643836,11.706849315068494,234
10,Farm1,10,0.0228043426407237,0.0422784890338919,6.169240573264817e-05,0.0014591913557552496,725.1095890410959,21.96986301369863,364
11,Farm1,11,0.01,0.0496255571628359,6.449352632565623e-05,0.0012996030677103372,749.7205479452055,13.057534246575342,236
12,Farm1,12,0.15,0.0479801295844083,5.576848697597738e-05,0.0011623246427016735,740.6821917808219,12.830136986301369,201
13,Farm1,13,0.01,0.0494237806449684,6.71685433613193e-05,0.0013590328883138043,756.6931506849315,12.827397260273973,242
14,Farm1,14,0.01,0.0526911317437142,6.23300532071806e-05,0.0011829325190878307,792.8904109589041,6.8931506849315065,128
15,Farm1,15,0.0105302306400105,0.0500974178860048,5.630606449007233e-05,0.0011239314692464814,821.172602739726,7.027397260273973,118
16,Farm1,16,0.0713333194266312,0.0562293305970925,7.26371438440655e-05,0.001291801682017915,758.6657534246575,11.084931506849315,229
17,Farm1,17,0.01,0.0483366474974661,6.350669451284014e-05,0.0013138415219253524,770.4438356164384,13.465753424657533,245
18,Farm1,18,0.01,0.057140522624486,7.92496044888024e-05,0.0013869247400765314,771.2657534246575,10.646575342465754,242
19,Farm1,19,0.01,0.0585145511161985,8.014351854705966e-05,0.0013696339973267545,762.0958904109589,10.87945205479452,247
