,farm,n_sim,mean_beta_eff,sd_beta_eff,median_beta_eff,mean_R0,sd_R0,median_R0,mean_total_new_E,mean_peak_I
0,Farm1,100,0.00034662744,0.0011327137,0.00014654831,0.0052065356,0.014092176,0.0023856931,219.47,80.48
1,Farm2,100,0.00010532537,2.2343655e-05,0.00010173845,0.0018355433,0.0003424965,0.0018255949,104.32,42.1
2,Farm3,100,0.009059871,0.03524153,0.0010626429,0.13282645,0.4567106,0.013912525,862.41,308.51
3,Farm4,100,0.0034275462,0.014482609,0.00044470598,0.07577091,0.36216676,0.006224802,785.7,301.73
